;Nome_Aluno;Data_Nasc;Endereco;Telefone;Sexo;Pais_Origem;Cod_Viagem
;Maria Cristina;1985-10-12;Rua João XXIII, 15 - São Paulo;1155686899;F;BRA;1
;Ana Paula Lima;1980-12-01;Rua Mauro Silva, 1908 - São Paulo;1156923232;F;BRA;2
;Carlos Renato;1979-05-10;Av. Faria Lima, 347 - São Paulo;1156121010;M;BRA;3
;Hugo Silva;1975-10-02;Av. da Consolação, 1216 - São Paulo;1154788901;M;BRA;4
;Marcos Antônio;1985-10-23;Rua Agripino Lopes, 100 - São Paulo;1156010201;M;BRA;5
;Gislaine Silva;1983-11-06;Av. Nelson Dávila, 2345 - São José dos Campos;1234598910;F;BRA;6
;Antônio Pereira;1979-06-18;Rua Joaquim Nabuco, 18 - Jacareí;1234966852;M;BRA;7
;Jair Lopes;1982-12-14;Rua Pedro XIII, Santa Isabel;1236691857;M;BRA;8
;Miguel Firmino;1982-05-12;Av. Colinas, 2340 - São José dos Campos;1234581212;M;BRA;9
;Marta da Silva;1982-06-15;Rua Alfredo Miragaia, 321 - Taubaté;1234568989;F;BRA;10
;Jorge Augusto;1985-06-19;Rua Califórnia, 3451 - São Paulo;1158988810;M;BRA;11
;Renato César;1981-10-22;Rua Cafezal, 10 - Cafezal do Sul;4488562323;M;BRA;12
;Júlio Antunes;1981-11-23;Rua do Descanso, 99 - Camaçari;7196521010;M;BRA;13
;Márcio Gomes;1986-11-24;Rua Miguel Pereira, 15 - São Paulo;1156451212;M;BRA;14
;Carlos Pereira;1986-12-24;Rua Maria Augusta, 290 - São Paulo;1158457525;M;BRA;15
;Carlos Barreto;1986-02-21;Rua Augusta, 90 - São Paulo;1156322558;M;BRA;16
;Simone Gomes;1985-02-20;Rua A, 18 - Campos do Jordão;1296895959;F;BRA;17
;José Aurélio;1987-03-26;Rua Canarinho, 789 - São Paulo;1186574512;M;BRA;18
;Juliana Marcondes;1988-07-27;Av. da Consolação, 3450 - São Paulo;1155125566;F;BRA;19
;Jezebel Lima;1983-07-29;Av. Califórnia, 2553 - São Paulo;1154332332;F;BRA;20
;Geisa Lima;1982-09-29;Rua Constantino Pereira, 130 - São Paulo;1155847889;F;BRA;20
;Ana Mara da Silva;1985-10-30;Av. Costa e Silva, 109 - Cruzeiro;1236658956;F;BRA;15
;Pedro Costa;1985-12-30;Av. Francisco Teixeira, 1218 - Campos do Jordão;1236631225;M;BRA;5
;Miriam Pereira;1986-01-30;Av. Matheus da Costa Pinto, 1801 - Campos do Jordão;1236621515;F;BRA;2
;Marcos Manuel;1977-01-12;Rua Anísio Teixeira, 555 - Campos do Jordão;1236621859;M;BRA;1
;Jairo Pereira;1977-03-13;Rua Pedro Augusto, 318 - Cruzeiro;1236661518;M;BRA;1
;Cristina Rocha;1979-08-14;Av. Nelson Lima, 347 - São Paulo;1153212102;F;BRA;9
;Ágatha Silva;1975-08-15;Av. Faria Lima, 448 - São Paulo;1156020303;F;BRA;15
;Mariana Lopes;1975-09-18;Rua Califórnia, 1009 - São Paulo;1154121111;F;BRA;15
;César Augusto;1975-10-19;Rua Augusta, 235 - São Paulo;1154189898;M;BRA;19
;Melissa Pereira;1975-10-21;Rua Américo Vespúcio, 56 - São Paulo;1156887110;F;BRA;12
;Jéssica Patrícia;1985-10-12;Rua Brigadeiro Jordão, 199 - Campos do Jordão;1236625307;F;BRA;11
;Patrícia Silva;1982-11-12;Rua Periquito, 24 - Campos do Jordão;1236620181;F;BRA;11
;Maria Duarte;1982-12-10;Rua F, 341 - Campos do Jordão;1236631118;F;BRA;11
;Marcelo Augusto;1984-09-22;Av. Frei Orestes Girardi, 899 - Campos do Jordão;1236635696;M;BRA;13
;Cristiano Leite;1984-08-25;Rua Gumercindo Lopes, 566 - São Paulo;1158871771;M;BRA;16
;Alberto Carlos;1983-07-26;Av. Jorge Aparecido, 641 - Rio de Janeiro;2124565353;M;BRA;18
;Jaime Augusto;1983-05-15;Rua São Leopoldo, 11 - Rio de Janeiro;2125896060;M;BRA;3
;Leandro Leite;1982-06-15;Av. do Povo, 3489 - Rio de Janeiro;2156894510;M;BRA;9
;Mônica Silva;1978-04-17;Rua Americana, 5200 - Rio de Janeiro;2189562121;F;BRA;9
;Marília dos Santos;1984-04-15;;2134588585;F;BRA;4
;Guilherme dos Santos;1978-10-11;Av. Brasil, 1008 - São Paulo;1155661010;M;BRA;1
;Heidi Lima;1978-08-11;Rua César Conceição, 12 - Santo Antônio do Pinhal;1236645605;F;BRA;2
;Amílcar Júnior;1976-04-10;Rua Senador Kennedy, 901 - São Paulo;1155640290;M;BRA;8
;Alexandro Duarte;1974-05-29;Rua Maria Cíntia - Cruzeiro;1236661515;M;BRA;11
;Maurício dos Santos;1988-04-13;Rua Marta Silva - Jacareí;1236665650;M;BRA;16
;Mary Ann Duarte;1989-04-13;Av. Brasil, 6320 - São Paulo;1158854516;F;BRA;17
;Gabriela Pereira;1983-07-29;Rua Franco Silva, 1599 - São Paulo;1159404014;F;BRA;18
;André César;1984-12-30;Rua Militar, 349 - Rio de Janeiro;2128002525;M;BRA;14
;Edson Lopes;1979-01-11;Av. Pedro Silva, 3047 - Rio de Janeiro;2126900099;M;BRA;14
