;Nome_Aluno;Data_Nasc;Endereco;Telefone;Sexo;Pais_Origem;Cod_Viagem
;Maria Cristina;1985-10-12;Rua João XXIII, 15 - São Paulo;1155686899;F;BRA;1
;Ana Paula Lima;1980-12-01;Rua Mauro Silva, 1908 - São Paulo;1156923232;F;BRA;2
;Felipe Neto;1975-11-23;Rua da Preguiça, 70 - São Paulo;8996521919;M;BRA;15
;Carlos Eduardo;1966-11-24;Rua Miguel Pereira, 150 - São Paulo;1156651210;M;BRA;15
;Carlos Pereira;1986-12-24;Rua Maria Augusta, 290 - São Paulo;1158457525;M;BRA;15
;Cristiano Leite;1984-08-25;Rua Gumercindo Lopes, 566 - São Paulo;1158871771;M;BRA;16
;Alberto Carlos;1983-07-26;Av. Jorge Aparecido, 641 - Rio de Janeiro;2124565353;M;BRA;18
;Maria Rita;1993-05-15;Av. Marcos Lima, 110 - Florianópolis;4825906066;F;BRA;3
;Leandro Leite;1982-06-15;Av. do Povo, 3489 - Rio de Janeiro;2156894510;M;BRA;9
;Mônica Silva;1978-04-17;Rua Americana, 5200 - Rio de Janeiro;2189562121;F;BRA;9
;Emerson Soares;1994-04-15;;4834588585;M;BRA;18
;Melissa Lima;1988-10-11;Rua da Cegonha, 124 - São Paulo;1155661010;F;BRA;1
;Jéssica Santos;1968-08-20;Rua do Periquito, 99 - Florianópolis;4846685615;F;BRA;15
;Edson Renato;1966-04-10;Rua da Gaivota, 1501 - São Paulo;1155640290;M;BRA;11
;Alex Silva;1984-05-29;Rua do Xarope - Cruzeiro;1236661515;M;BRA;12
;Maurício dos Santos;1988-04-13;Rua Marta Silva - Jacareí;1236665650;M;BRA;16
;Avelino Júnior;1985-04-13;Rua da Relíquia, 24 - Tremembé;1258854516;M;BRA;17
;Gabriela Pereira;1983-07-29;Rua Franco Silva, 1599 - São Paulo;1159404014;F;BRA;18
;André César;1984-12-30;Rua Militar, 349 - Rio de Janeiro;2128002525;M;BRA;14
;Edson Lopes;1979-01-11;Av. Pedro Silva, 3047 - Rio de Janeiro;2126900099;M;BRA;14
